Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,ai_summary
The Church of Christ: A Biblical Ecclesiology for Today,"In The Church of Christ: A Biblical Ecclesiology for Today, respected biblical scholar Everett Ferguson presents a genuine biblical theology of the church. By systematically examining the New Testament's teaching on the existence, meaning, and purpose of the church, providing responsible coverage of the traditional topics in ecclesiology, and carefully grounding ecclesiology in the person and work of Christ, Ferguson unveils a comprehensive model of the church that is both biblically centered and relevant to a world on the verge of the twenty-first century.",['Everett Ferguson'],http://books.google.com/books/content?id=kVqRaiPlx88C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=kVqRaiPlx88C&printsec=frontcover&dq=The+Church+of+Christ:+A+Biblical+Ecclesiology+for+Today&hl=&cd=1&source=gbs_api,Wm. B. Eerdmans Publishing,1996,http://books.google.nl/books?id=kVqRaiPlx88C&dq=The+Church+of+Christ:+A+Biblical+Ecclesiology+for+Today&hl=&source=gbs_api,['Religion'],5.0,"Everett Ferguson's book on ecclesiology offers a comprehensive exploration of the theological perspective of the Churches of Christ, divided into six chapters that systematically explore various topics related to the church. The book is praised for its insightful exegesis, particularly of Matthew 16:13-23, and its clear focus on central themes like the nature of the church, salvation, worship, ministry, and ethics. Positive feedback highlights the book’s depth, thorough research, rich exegesis, and its utility as a resource for ministers and students. Criticisms point to occasional excessive technical detail and insufficient coverage of certain debated topics like miraculous gifts and women's roles. Overall, it's recommended for serious students of ecclesiology."
Voices from the Farm: Adventures in Community Living,"Twenty-five years ago, at the height of the counter-culture movement, several hundred hippies drove their school buses into southern Tennessee and founded America's largest, modern-day intentional community, The Farm. In its heyday, the community was home to over 1,200 optimistic young people and the young-at-heart. Their purpose for coming together was to experiment with alternative lifestyles that could help raise the standard of living for impoverished people around the world while conserving the planet's resources. The results of these experiments were not always predictable, but were always interesting, and created lasting bonds among community members that are still strong today. The Farm remains a vibrant, working environment for change. Why has it lasted so long? Discover the answers as members past and present recount some of their more memorable experiences.",['Rupert Fike'],http://books.google.com/books/content?id=IjTABgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=IjTABgAAQBAJ&pg=PP1&dq=Voices+from+the+Farm:+Adventures+in+Community+Living&hl=&cd=1&source=gbs_api,Book Publishing Company,2012-08-21,https://play.google.com/store/books/details?id=IjTABgAAQBAJ&source=gbs_api,['Biography & Autobiography'],1.0,"""Voices from The Farm"" offers a compelling collection of first-hand accounts from the early days of The Farm, a well-known intentional community in Tennessee. The book is praised for its honest storytelling, describing both triumphs and challenges of communal living. Readers enjoy its humorous and educational insights into community dynamics, particularly the humanitarian efforts and internal conflicts faced by its members. The absence of planned photographs is noted as a minor drawback. Overall, the book is appreciated for its inspirational and nostalgic value, providing a heartfelt glimpse into life on The Farm while provoking reflection on spiritual and communal ideals."
The Battleship Bismarck,"The Bismarck is perhaps the most famous – and notorious – warship ever built. Completed in 1941, the 45,000-ton German battleship sank HMS Hood, the pride of the British Navy, during one of the most sensational encounters in naval history. Following the sinking, Bismarck was chased around the North Atlantic by many units of the Royal Navy. She was finally dispatched with gunfire and torpedoes on 27 May, less than five months after her completion. Her wreck still lies where she sank, 4,800m down and 960km off the west coast of France. Drawing on new research and technology, this edition is the most comprehensive examination of Bismarck ever published. It includes a complete set of detailed line drawings with fully descriptive keys and full-colour 3D artwork, supported by technical details, photographs and text on the building of the ship and a record of the ship's service history.",['Stefan Draminski'],http://books.google.com/books/content?id=nxttDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=nxttDwAAQBAJ&printsec=frontcover&dq=The+Battleship+Bismarck&hl=&cd=1&source=gbs_api,Bloomsbury Publishing,2018-09-20,https://play.google.com/store/books/details?id=nxttDwAAQBAJ&source=gbs_api,['History'],1.0,"This book serves as a historical account and photo album of the German battleship Bismarck, showcasing its construction and interior through numerous photographs. While the visual content is valuable, the book has notable shortcomings. It was published in 1975 and fails to incorporate updated information, leading to outdated claims, particularly about the Bismarck's timeline. The translation is problematic, with literal interpretations that misrepresent naval terms, making the narrative unclear. Additionally, factual errors persist regarding historical events and figures, such as the number of German sailors rescued. Despite this, the extensive collection of historic images makes it a worthwhile purchase for some readers."
Tess and the Highlander,"In 1543, on a windswept isle off of Scotland, seventeen-year-old Tess finds a young man half alive in a tidal pool while a great storm rages around them, but little does Tess know that this stranger holds the key to her mysterious past and to her heart. Original.",['May Mcgoldrick'],http://books.google.com/books/content?id=VmCRSPmY3WkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=VmCRSPmY3WkC&dq=Tess+and+the+Highlander&hl=&cd=1&source=gbs_api,Harper Collins,2002-11,http://books.google.nl/books?id=VmCRSPmY3WkC&dq=Tess+and+the+Highlander&hl=&source=gbs_api,['Juvenile Fiction'],2.0,"""Tess and the Highlander"" is a historical romance set in 1543 Scotland from the Avon True Romance series, focusing on Tess, a young woman raised alone on the Isle of May after surviving a shipwreck, and Colin, a Highlander who washes ashore. The story is praised for its sweet romance and engaging plot, as Tess discovers her heritage and falls in love with Colin. Readers love the Scottish setting and find the book appropriate for teens new to romance novels. However, some criticize the characterization and plot believability, noting redundant writing and abrupt character transitions. Overall, it’s a light, enjoyable read for young romance fans."
Beginner's Yoruba (Hippocrene Beginner's Series),"""Beginner's Yoruba"" is now available with two accompanying audio CDs. It provides an introduction to the Yoruba language, which is spoken by over 30 million people in south-western Nigeria, parts of the Benin Republic, and Togo, as well as in the diaspora populations of Brazil, Cuba, and Haiti. The 15 lessons are designed for both classroom use and self-study. Practice dialogues, combined with grammatical explanations, aid the student in understanding the basics of the language. Each lesson also contains a vocabulary section that highlights the important aspects of its featured topic. The audio CDs, which complement the lessons, help the student easily master the language's unique tones and vowel sounds, often considered the most difficult aspect of the language to learn. Quizzes and practice exercises are integrated into the lessons to help reinforce the material. The book also includes information on various aspects of Yoruba culture, including religion, songs, and folklore.",['Kayode J. Fakinlede'],http://books.google.com/books/content?id=xLe4nWzeSw0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=xLe4nWzeSw0C&pg=PP1&dq=Beginner%27s+Yoruba+(Hippocrene+Beginner%27s+Series)&hl=&cd=1&source=gbs_api,Hippocrene Books,2005,http://books.google.nl/books?id=xLe4nWzeSw0C&dq=Beginner%27s+Yoruba+(Hippocrene+Beginner%27s+Series)&hl=&source=gbs_api,['Foreign Language Study'],1.0,"The user reviews collectively acknowledge the CD's critical role in learning Yoruba pronunciation and providing valuable dialogues and vocabulary. The book is considered a useful starting point for beginners and offers insights into Yoruba culture. However, some criticisms include the book's brevity, confusing design, and spelling mistakes in English and Yoruba. The grammar explanations and lack of detailed guidance pose challenges for some users. Despite these drawbacks, users appreciate the book's interaction, respectful cultural content, and the varied CD participants. Overall, while acknowledging certain errors and limitations, the book/CD set is recommended as an effective introductory resource."
King James: Believe the Hype---The LeBron James Story,"LeBron James is a six-foot-eight gift from the basketball heavens. For the past three years he was the undisputed finest high school player in America. He was the one NBA scouts drooled over, corporations dreamt of, event promoters begged for, and now NBA fans clamor after. With appearances on the cover of Sports Illustrated and features on ESPN and in newspapers across the country, never before has a high school basketball player been so highly touted or an eighteen-year-old athlete been the subject of such fascination. In fact, no basketball player in the world has had this level of attention this year. Love him or hate him, there is no denying that LeBron James is a force on the basketball court, and his rags-to riches story is the stuff that dreams are made of. Now, for the first time, author Ryan Jones has written a book that incorporates everything that is King James: the controversy, the athletic potential, the jerseys and the Humvee, the hobnobbing with the world's most famous stars, the money, and, of course, the game. This is a book for every fan of LeBron James and for anybody interested in reading about an NBA basketball career in the making.",['Ryan Jones'],http://books.google.com/books/content?id=hlGqehyJhywC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=hlGqehyJhywC&printsec=frontcover&dq=King+James:+Believe+the+Hype---The+LeBron+James+Story&hl=&cd=1&source=gbs_api,St. Martin's Griffin,2003-10-10,https://play.google.com/store/books/details?id=hlGqehyJhywC&source=gbs_api,['Sports & Recreation'],1.0,"""King James: Believe the Hype, The LeBron James Story"" by Ryan Jones is a biography that chronicles LeBron James' journey from childhood to becoming an NBA star. The book highlights his early life, struggles, achievements, and high school basketball and football careers, emphasizing his transition to stardom. Positive feedback includes its engaging storytelling, depth of detail on LeBron's life, and ability to portray LeBron as both a basketball player and person, making it inspiring for sports fans. Criticism mentions some repetitiveness and simplistic vocabulary. Overall, readers find it a compelling read, especially for basketball and sports enthusiasts."
"Open marriage;: A new life style for couples,",Advocates the importance of individuality in both partners in order to develop an open relationship in marriage,"[""Nena O'Neill"", ""George O'Neill""]",http://books.google.com/books/content?id=xY2SD7v3070C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=xY2SD7v3070C&pg=PR14&dq=Open+marriage%3B:+A+new+life+style+for+couples,&hl=&cd=1&source=gbs_api",Rowman & Littlefield,1984,"http://books.google.nl/books?id=xY2SD7v3070C&dq=Open+marriage%3B:+A+new+life+style+for+couples,&hl=&source=gbs_api",['Family & Relationships'],1.0,"The book ""Open Marriage"" is examined positively for its focus on individuality, trust, and communication within relationships, despite the misconception of promoting non-monogamy. Reviewers praise its emphasis on maintaining personal identity while fostering partnership growth. However, some criticize its outdated language and assumptions, noting that the authors themselves divorced, which some deem undermining. Critics misinterpret its association with sexual freedom, whereas the book is more about personal freedom and mutual understanding in marriage. Although certain examples may feel dated, the foundational ideas remain valuable in enhancing relationships. Some feel modern polyamory books offer more practical insights. Overall, it’s recommended for enhancing relationship dynamics."
No place to cry: The hurt and healing of sexual abuse,"Just as God gave Dorie Van Stone a tender heart to forgive her abusers, He also gave her the strength to reveal her past in No Place to Cry, the sequel to the best-seller Dorie: The Girl Nobody Loved. Through her candor you will gain insight into the trauma of emotional and sexual abuse.","['Dorie N. Van Stone', 'Erwin W. Lutzer']",http://books.google.com/books/content?id=J9NKUAfjGU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=J9NKUAfjGU8C&printsec=frontcover&dq=No+place+to+cry:+The+hurt+and+healing+of+sexual+abuse&hl=&cd=1&source=gbs_api,Moody Publishers,1992-05-09,https://play.google.com/store/books/details?id=J9NKUAfjGU8C&source=gbs_api,['Religion'],4.0,"This book, telling the full story of Dorie Van Stone, is both touching and deeply saddening. It vividly details her experiences of physical and sexual abuse, offering hope and inspiration to those who have suffered similarly. Readers find the book to be a profound testament to resilience and healing, particularly through faith, highlighting Dorie's journey from tragedy to forgiveness and ministry. While readers praise its eye-opening and motivational aspects, it may not serve as a typical self-help book for those seeking guidance unrelated to such specific trauma. Overall, it’s recognized as an essential resource for understanding and supporting abuse survivors."
Trouble on Titan,,['Alan Nourse'],,http://books.google.nl/books?id=dyUMOQAACAAJ&dq=Trouble+on+Titan&hl=&cd=1&source=gbs_api,Ace Books,1986,http://books.google.nl/books?id=dyUMOQAACAAJ&dq=Trouble+on+Titan&hl=&source=gbs_api,['Fiction'],1.0,"""Trouble on Titan"" is a nostalgic sci-fi novel read by reviewers during significant space exploration milestones. Set on a Titan mining colony, it features jet crafts using oxygen and burning Titan’s methane—though Titan's atmosphere contains less methane than initially thought. Despite outdated science, the book’s engaging narrative and ""old-style"" sci-fi essence captivate readers, reminiscent of Asimov's works. Positively noted are its themes of father-son bonding, friendships across differences, first love, and elements of industrial sabotage and rebellion. However, some compare it less favorably to Heinlein’s works. Overall, the book is cherished for its imaginative and compelling storytelling."
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,"This beautifully illustrated, full-color book explains the basic principles of Chinese medicine, the causes of disharmony in the body that lead to disease and the Chinese approach to diagnosis and treatment.",['Tom Williams'],http://books.google.com/books/content?id=XMMFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=XMMFAAAACAAJ&dq=The+Complete+Illustrated+Guide+to+Chinese+Medicine:+A+Comprehensive+System+for+Health+and+Fitness&hl=&cd=1&source=gbs_api,HarperThorsons,2003,http://books.google.nl/books?id=XMMFAAAACAAJ&dq=The+Complete+Illustrated+Guide+to+Chinese+Medicine:+A+Comprehensive+System+for+Health+and+Fitness&hl=&source=gbs_api,['Health & Fitness'],1.0,"""The Complete Illustrated Guide to Chinese Medicine"" is praised by both practitioners and beginners for its comprehensive and visually appealing presentation of Traditional Chinese Medicine (TCM). The book effectively introduces the foundational theories, diagnostic methods, and treatment modalities of TCM, such as acupuncture and herbalism, through vibrant illustrations and clear explanations. Reviewers commend the guide for being an accessible resource that demystifies complex concepts and enhances understanding. However, some note that its coverage of dietary practices could be more detailed. Overall, the book is highly recommended as an introductory text and reference for those interested in TCM."
